ICAO Code,IATA Code,Airport Name,City/Town,Country
EKEB,EBJ,Esbjerg,Esbjerg,Denmark
EKKA,KRP,Karup,Karup,Denmark
EKOD,ODE,Odense,Odense,Denmark
EKRK,RKE,Roskilde,Copenhagen,Denmark
EKRN,RNN,Bornholm Ronne,Ronne,Denmark
EKSB,SGD,Sonderborg,Soenderborg,Denmark
EKSP,SKS,Skrydstrup,Skrydstrup,Denmark
EKTS,TED,Thisted,Thisted,Denmark
EKVG,FAE,Vagar,Vagar,Faroe Isl.
EKVJ,STA,Stauning,Stauning,Denmark
EKYT,AAL,Aalborg,Aalborg,Denmark
ELLX,LUX,Findel International Airport,Luxemburg,Luxemburg
ENAL,AES,Vigra,Alesund,Norway
ENAN,ANX,Andoya,Andoya,Norway
ENAT,ALF,Alta,Alta,Norway
ENBN,BNN,Bronnoy,Bronnoysund,Norway
ENBO,BOO,Bodo,Bodoe,Norway
ENBR,BGO,Bergen Flesland,Bergen,Norway
ENBS,BJF,Batsfjord,Batsfjord,Norway
ENCN,KRS,Kristiansand Kjevik,Kristiansand,Norway
ENDU,BDU,Bardufoss,Bardufoss,Norway
ENEV,EVE,Evenes,Evenes,Norway
ENFB,FBU,Oslo Fornebu,Oslo,Norway
ENFG,VDB,Fagernes Leirin,Fagernes,Norway
ENFL,FRO,Floro,Floro,Norway
ENGM,OSL,Oslo Gardermoen,Oslo,Norway
ENHA,HMR,Stafsberg,Hamar,Norway
ENHD,HAU,Haugesund Karmoy,Haugesund,Norway
ENHK,HAA,Hasvik,Hasvik,Norway
ENKB,KSU,Kristiansund Kvernberget,Kristiansund,Norway
ENKR,KKN,Kirkenes Hoybuktmoen,Kirkenes,Norway
ENLI,FAN,Lista,Lista,Norway
ENML,MOL,Aro,Molde,Norway
ENMS,MJF,Kjaerstad,Mosjoen,Norway
ENNA,LKL,Banak,Banak,Norway
ENOL,OLA,Orland,Orland,Norway
ENRO,RRS,Roeros,Roros,Norway
ENSB,LYR,Svalbard Longyear,Svalbard,Norway
ENSG,SOG,Sogndal Haukasen,Sogndal,Norway
ENSN,SKE,Skien Geiteryggen,Skien,Norway
ENSO,SRP,Soerstokken,Stord,Norway
ENSR,SOJ,Sorkjosen,Sorkjosen,Norway
ENST,SSJ,Stokka,Sandnessjoen,Norway
ENTC,TOS,Tromso,Tromso,Norway
ENTO,TRF,Torp,Torp,Norway
ENVA,TRD,Trondheim Vaernes,Trondheim,Norway
ENZV,SVG,Stavanger Sola,Stavanger,Norway
EPGD,GDN,Rebiechowo,Gdansk,Poland
EPKK,KRK,Balice Jp Ii International Airport,Krakow,Poland
EPKT,KTW,Pyrzowice,Katowice,Poland
EPPO,POZ,Lawica,Poznan,Poland
EPRZ,RZE,Jasionka,Rzeszow,Poland
EPSC,SZZ,Goleniow,Szczechin,Poland
EPSK,OSP,Redzikowo,Slupsk,Poland
EPWA,WAW,Okecie,Warsaw,Poland
EPWR,WRO,Strachowice,Wroclaw,Poland
EPZG,IEG,Babimost,Zielona Gora,Poland
ESDB,AGH,Angelholm,Angelholm,Sweden
ESDF,RNB,Ronneby,Ronneby,Sweden
ESGG,GOT,Landvetter,Gothenborg,Sweden
ESGJ,JKG,Jonkoping,Joenkoeping,Sweden
ESGL,LDK,Lidkoping,Lidkoping,Sweden
ESGP,GSE,Save,Gothenborg,Sweden
ESGR,KVB,Skovde,Skovde,Sweden
ESGT,THN,Trollhattan Vanersborg,Trollhattan,Sweden
ESKK,KSK,Karlskoga,Karlskoga,Sweden
ESKM,MXX,Mora,Mora,Sweden
ESKN,NYO,Skavsta,Stockholm,Sweden
ESMK,KID,Kristianstad,Kristianstad,Sweden
ESML,JLD,Landskrona,Landskrona,Sweden
ESMO,OSK,Oskarshamn,Oskarshamn,Sweden
ESMQ,KLR,Kalmar,Kalkmar,Sweden
ESMS,MMX,Sturup,Malmoe,Sweden
ESMT,HAD,Halmstad,Halmstad,Sweden
ESMX,VXO,Kronoberg,Vaxjo,Sweden
ESND,EVG,Sveg,Sveg,Sweden
ESNG,GEV,Gallivare,Gallivare,Sweden
ESNH,HUV,Hudiksvall,Hudiksvall,Sweden
ESNK,KRF,Kramfors Solleftea,Kramfors,Sweden
ESNL,LYC,Lycksele,Lycksele,Sweden
ESNN,SDL,Sundsvall Harnosand,Sundsvall,Sweden
ESNO,OER,Ornskoldsvik,Ornskoldsvik,Sweden
ESNQ,KRN,Kiruna,Kiruna,Sweden
ESNS,SFT,Skelleftea,Skelleftea,Sweden
ESNU,UME,Umea,Umea,Sweden
ESNV,VHM,Vilhelmina,Vilhelmina,Sweden
ESNX,AJR,Arvidsjaur,Arvidsjaur,Sweden
ESOE,ORB,Orebro,Orebro,Sweden
ESOW,VST,Vasteras,Vasteras,Sweden
ESPA,LLA,Kallax,Lulea,Sweden
ESPC,OSD,Froson,Ostersund,Sweden
ESSA,ARN,Arlanda,Stockholm,Sweden
ESSB,BMA,Bromma,Stockholm,Sweden
ESSD,BLE,Borlange,Borlange,Sweden
ESSF,HLF,Hultsfred,Hultsfred,Sweden
ESSK,GVX,Gavle Sandviken,Gavle,Sweden
ESSL,LPI,Saab,Linkoeping,Sweden
ESSP,NRK,Kungsangen,Norrkoeping,Sweden
ESSV,VBY,Visby,Visby,Sweden
ETAD,SPM,Spangdahlem Ab,Spangdahlem,Germany
ETAR,RMS,Ramstein Ab,Ramstein,Germany
ETEU,GHF,Giebelstadt Aaf,Giebelstadt,Germany
ETHC,ZCN,Celle,Celle,Germany
ETID,ZNF,Hanau Aaf,Hanau,Germany
ETIE,QHD,Heidelberg Aaf,Heidelberg,Germany
ETNG,GKE,Geilenkirchen,Geilenkirchen,Germany
ETNL,RLG,Laage,Laage,Germany
ETSF,FEL,Furstenfeldbruck,Fuerstenfeldbruck,Germany
ETUL,LRC,Laarbruch,Laarbruch,Germany
ETUO,GUT,Gutersloh,Guetersloh,Germany
ETUR,BGN,Bruggen,Brueggen,Germany
FAAB,ALJ,Alexander Bay,Alexander Bay,South Africa
FAAG,AGZ,Aggeneys,Aggeneys,South Africa
FABE,VIY,Bisho,Bisho,South Africa
FABL,BFN,Bloemfontein,Bloemfontein,South Africa
FACT,CPT,Cape Town International,Cape Town,South Africa
FADN,DUR,Durban International,Durban,South Africa
FAEL,ELS,East London,East London,South Africa
FAER,ELL,Ellisras,Ellisras,South Africa
FAGC,GCJ,Grand Central,Johannesburg,South Africa
FAGG,GRJ,George,George,South Africa
FAGM,HCS,Rand,Johannesburg,South Africa
FAHG,GHC,Heidelberg,Heidelberg,South Africa
FAHS,HDS,Hoedspruit Afs,Hoedspruit,South Africa
FAJS,JNB,Johannesburg International,Johannesburg,South Africa
FAKM,KIM,Kimberley,Kimberley,South Africa
FAKZ,KLZ,Kleinsee,Kleinsee,South Africa
FALA,HLA,Lanseria,Johannesburg,South Africa
FALT,LCD,Louis Trichardt Afb,Louis Trichardt,South Africa
FALY,LAY,Ladysmith,Ladysmith,South Africa
FAMG,MGH,Margate,Margate,South Africa
FAMK,MFK,Mafikeng North,Mafikeng,South Africa
FAMM,MBO,Mafikeng,Mmabatho,South Africa
FAMS,MEZ,Messina,Messina,South Africa
FANC,NCS,Newcastle,Newcastle,South Africa
FANS,NLP,Nelspruit,Nelspruit,South Africa
FAOH,DUH,Oudtshoorn,Oudtshoorn,South Africa
FAPE,PLZ,Port Elizabeth,Port Elizabeth,South Africa
FAPH,PHW,Phalaborwa,Phalaborwa,South Africa
FAPI,PTG,Pietersburg Muni,Pietersburg,South Africa
FAPM,PZB,Pietermaritzburg,Pietermaritzburg,South Africa
FAPN,NTY,Pilanesberg,Pilanesberg,South Africa
FAQT,UTW,Queenstown,Queenstown,South Africa
FARB,RCB,Richards Bay,Richard'S Bay,South Africa
FASB,SBU,Springbok,Springbok,South Africa
FASS,SIS,Sishen,Sishen,South Africa
FASZ,SZK,Skukuza,Skukuza,South Africa
FATH,THY,P R Mphephu,Thohoyandou,South Africa
FATN,TCU,Thaba Nchu,Thaba Nchu,Bophuthatswana
FATZ,LTA,Tzaneen,Tzaneen,South Africa
FAUL,ULD,Prince Mangosuthu Buthelezi,Ulundi,South Africa
FAUP,UTN,Upington,Upington,South Africa
FAUT,UTT,Umtata,Umtata,South Africa
FAVB,VRU,Vryburg,Vryburg,South Africa
FAVG,VIR,Virginia,Durban,South Africa
FAVY,VYD,Vryheid,Vryheid,South Africa
FAWB,PRY,Wonderboom,Pretoria,South Africa
FAWM,WEL,Welkom,Welkom,South Africa
FBFT,FRW,Francistown,Francistown,Botswana
FBJW,JWA,Jwaneng,Jwaneng,Botswana
FBKE,BBK,Kasane,Kasane,Botswana
FBMN,MUB,Maun,Maun,Botswana
FBOR,ORP,Orapa,Orapa,Botswana
FBSK,GBE,Sir Seretse Khama International,Gaberone,Botswana
FBSP,PKW,Selebi Phikwe,Selebi-Phikwe,Botswana
FCBB,BZV,Brazzaville Maya Maya,Brazzaville,Congo
